Datum von;Datum bis;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen
15.06.2023;16.06.2023;308.379,00;204.927,75
16.06.2023;17.06.2023;300.341,00;211.800,25
17.06.2023;18.06.2023;268.823,75;171.237,50
18.06.2023;19.06.2023;257.213,00;144.521,00
19.06.2023;20.06.2023;292.971,75;181.630,00
20.06.2023;21.06.2023;298.414,00;194.105,25
21.06.2023;22.06.2023;283.293,25;162.601,00
22.06.2023;23.06.2023;285.180,00;164.514,50
23.06.2023;24.06.2023;279.983,25;139.513,75
24.06.2023;25.06.2023;241.933,75;101.187,00
25.06.2023;26.06.2023;224.737,75;134.631,50
26.06.2023;27.06.2023;277.375,00;104.740,75
27.06.2023;28.06.2023;285.290,00;53.272,75
28.06.2023;29.06.2023;285.700,50;101.704,00
29.06.2023;30.06.2023;281.564,75;188.978,25
30.06.2023;01.07.2023;276.244,75;201.999,75
01.07.2023;02.07.2023;241.280,50;101.353,00
02.07.2023;03.07.2023;228.942,75;-64.778,25
03.07.2023;04.07.2023;278.426,00;9.380,50
04.07.2023;05.07.2023;284.252,75;30.093,75
05.07.2023;06.07.2023;284.385,00;24.978,25
06.07.2023;07.07.2023;283.138,25;115.019,00
07.07.2023;08.07.2023;277.637,75;166.022,00
08.07.2023;09.07.2023;239.658,00;110.311,75
09.07.2023;10.07.2023;224.209,50;87.342,50
10.07.2023;11.07.2023;276.059,00;126.394,50
11.07.2023;12.07.2023;281.584,75;148.673,00
12.07.2023;13.07.2023;282.751,00;61.366,00
13.07.2023;14.07.2023;282.358,50;134.612,25
14.07.2023;15.07.2023;276.466,00;168.272,75
15.07.2023;16.07.2023;239.850,00;32.243,75
16.07.2023;17.07.2023;226.048,75;26.969,75
17.07.2023;18.07.2023;276.720,75;83.722,75
18.07.2023;19.07.2023;281.348,50;128.494,75
19.07.2023;20.07.2023;279.716,50;180.567,00
20.07.2023;21.07.2023;281.530,50;141.565,00
21.07.2023;22.07.2023;275.172,00;205.214,00
22.07.2023;23.07.2023;239.723,50;85.644,50
23.07.2023;24.07.2023;223.699,00;36.418,00
24.07.2023;25.07.2023;273.245,50;81.385,75
25.07.2023;26.07.2023;279.991,25;149.620,75
26.07.2023;27.07.2023;281.664,50;116.991,75
27.07.2023;28.07.2023;280.332,75;135.584,75
28.07.2023;29.07.2023;276.532,50;132.188,25
29.07.2023;30.07.2023;237.057,50;131.309,75
30.07.2023;31.07.2023;223.658,50;46.328,50
31.07.2023;01.08.2023;274.840,00;72.693,50
01.08.2023;02.08.2023;280.715,50;98.868,75
02.08.2023;03.08.2023;280.721,50;69.439,25
03.08.2023;04.08.2023;282.781,00;-30.112,25
04.08.2023;05.08.2023;275.765,25;136.707,75
05.08.2023;06.08.2023;238.300,25;165.147,75
06.08.2023;07.08.2023;224.190,75;146.774,00
07.08.2023;08.08.2023;277.318,75;-49.120,75
08.08.2023;09.08.2023;282.910,00;-64.631,25
09.08.2023;10.08.2023;279.902,75;83.809,50
10.08.2023;11.08.2023;280.838,75;151.287,25
11.08.2023;12.08.2023;275.616,25;176.988,25
12.08.2023;13.08.2023;237.914,75;106.982,00
13.08.2023;14.08.2023;221.956,25;130.512,75
14.08.2023;15.08.2023;273.406,25;180.114,50
15.08.2023;16.08.2023;279.054,50;164.867,00
16.08.2023;17.08.2023;278.973,75;204.609,75
17.08.2023;18.08.2023;279.219,50;178.631,25
18.08.2023;19.08.2023;274.741,75;162.818,00
19.08.2023;20.08.2023;235.981,00;126.283,75
20.08.2023;21.08.2023;222.613,50;129.850,50
21.08.2023;22.08.2023;273.129,00;179.720,25
22.08.2023;23.08.2023;278.781,50;191.837,00
23.08.2023;24.08.2023;278.577,50;184.837,75
24.08.2023;25.08.2023;278.650,50;187.563,25
25.08.2023;26.08.2023;274.007,75;162.414,50
26.08.2023;27.08.2023;236.963,50;106.030,00
27.08.2023;28.08.2023;220.759,25;173.930,00
28.08.2023;29.08.2023;271.351,25;193.167,50
29.08.2023;30.08.2023;279.917,25;228.445,50
30.08.2023;31.08.2023;279.079,00;209.395,25
31.08.2023;01.09.2023;-;-
01.09.2023;02.09.2023;274.010,00;159.471,25
02.09.2023;03.09.2023;237.068,25;163.994,50
03.09.2023;04.09.2023;223.604,00;127.132,25
04.09.2023;05.09.2023;273.844,50;176.092,50
05.09.2023;06.09.2023;280.580,00;176.191,50
06.09.2023;07.09.2023;279.456,75;174.826,75
07.09.2023;08.09.2023;280.876,75;136.890,75
08.09.2023;09.09.2023;276.589,25;141.484,75
09.09.2023;10.09.2023;238.408,50;128.378,00
10.09.2023;11.09.2023;222.604,75;136.386,00
11.09.2023;12.09.2023;272.338,50;198.147,50
12.09.2023;13.09.2023;277.947,75;202.374,25
13.09.2023;14.09.2023;280.115,50;167.116,00
14.09.2023;15.09.2023;280.342,75;191.511,25
15.09.2023;16.09.2023;277.299,25;161.116,50
16.09.2023;17.09.2023;238.662,50;112.138,25
17.09.2023;18.09.2023;222.498,50;126.890,50
18.09.2023;19.09.2023;274.230,50;95.768,75
19.09.2023;20.09.2023;280.996,50;10.996,25
20.09.2023;21.09.2023;280.274,25;58.685,25
21.09.2023;22.09.2023;279.895,00;113.116,75
22.09.2023;23.09.2023;274.728,75;142.698,00
23.09.2023;24.09.2023;239.021,75;76.466,00
24.09.2023;25.09.2023;223.423,00;136.010,25
25.09.2023;26.09.2023;274.103,00;146.467,50
26.09.2023;27.09.2023;279.972,75;196.390,25
27.09.2023;28.09.2023;278.836,50;198.149,00
28.09.2023;29.09.2023;278.622,50;172.609,25
29.09.2023;30.09.2023;274.032,25;176.002,25
30.09.2023;01.10.2023;238.637,00;71.396,50
01.10.2023;02.10.2023;223.677,25;129.584,00
02.10.2023;03.10.2023;270.550,50;167.641,00
03.10.2023;04.10.2023;224.515,75;-43.983,25
04.10.2023;05.10.2023;282.644,25;16.438,25
